reg,cl_age90,jour,hosp,rea,rad,dc
32,0,04/05/2020,2233,346,4211,1428
32,9,04/05/2020,1,1,43,0
32,19,04/05/2020,6,1,24,0
32,29,04/05/2020,13,4,179,1
32,39,04/05/2020,34,7,338,3
32,49,04/05/2020,76,28,518,10
32,59,04/05/2020,187,57,743,55
32,69,04/05/2020,359,124,744,186
32,79,04/05/2020,511,96,746,311
32,89,04/05/2020,730,26,614,569
32,90,04/05/2020,306,0,247,287
44,0,04/05/2020,3773,498,8384,2983
44,9,04/05/2020,18,6,166,0
44,19,04/05/2020,11,3,60,0
44,29,04/05/2020,20,6,264,2
44,39,04/05/2020,65,8,431,14
44,49,04/05/2020,122,26,689,31
44,59,04/05/2020,324,82,1298,76
44,69,04/05/2020,661,185,1692,310
44,79,04/05/2020,866,151,1707,751
44,89,04/05/2020,1083,22,1530,1216
44,90,04/05/2020,572,2,489,572
52,0,04/05/2020,623,67,1300,357
52,9,04/05/2020,0,0,4,0
52,19,04/05/2020,1,1,5,0
52,29,04/05/2020,2,2,49,0
52,39,04/05/2020,8,1,85,0
52,49,04/05/2020,13,4,143,4
52,59,04/05/2020,33,12,194,12
52,69,04/05/2020,94,25,250,34
52,79,04/05/2020,124,21,250,65
52,89,04/05/2020,223,1,239,148
52,90,04/05/2020,125,0,81,94
53,0,04/05/2020,365,45,871,222
53,9,04/05/2020,1,0,10,0
53,19,04/05/2020,1,0,6,0
53,29,04/05/2020,3,0,28,0
53,39,04/05/2020,3,0,64,0
53,49,04/05/2020,13,1,97,1
53,59,04/05/2020,32,7,134,5
53,69,04/05/2020,45,15,154,27
53,79,04/05/2020,95,21,191,46
53,89,04/05/2020,111,1,131,83
53,90,04/05/2020,59,0,53,60
75,0,04/05/2020,583,103,1500,336
75,9,04/05/2020,1,0,11,0
75,19,04/05/2020,3,0,9,0
75,29,04/05/2020,5,2,58,1
75,39,04/05/2020,6,2,96,2
75,49,04/05/2020,13,3,138,2
75,59,04/05/2020,48,20,266,11
75,69,04/05/2020,93,32,307,29
75,79,04/05/2020,129,35,248,76
75,89,04/05/2020,177,8,242,132
75,90,04/05/2020,105,1,116,83
76,0,04/05/2020,572,126,2154,424
76,9,04/05/2020,1,0,18,0
76,19,04/05/2020,1,0,16,0
76,29,04/05/2020,4,0,82,1
76,39,04/05/2020,5,1,138,1
76,49,04/05/2020,12,5,242,2
76,59,04/05/2020,54,16,362,15
76,69,04/05/2020,91,46,394,46
76,79,04/05/2020,140,46,429,82
76,89,04/05/2020,172,12,318,174
76,90,04/05/2020,92,0,154,103
84,0,04/05/2020,2439,345,5216,1386
84,9,04/05/2020,0,0,37,0
84,19,04/05/2020,9,5,39,0
84,29,04/05/2020,18,3,190,0
84,39,04/05/2020,35,1,299,4
84,49,04/05/2020,59,12,457,10
84,59,04/05/2020,165,37,791,39
84,69,04/05/2020,339,115,924,96
84,79,04/05/2020,594,136,997,281
84,89,04/05/2020,752,28,986,583
84,90,04/05/2020,453,3,423,353
93,0,04/05/2020,1473,222,3973,732
93,9,04/05/2020,1,0,24,0
93,19,04/05/2020,5,0,43,0
93,29,04/05/2020,20,4,269,1
93,39,04/05/2020,24,3,352,1
93,49,04/05/2020,53,11,461,4
93,59,04/05/2020,102,29,717,28
93,69,04/05/2020,198,62,734,55
93,79,04/05/2020,346,75,607,159
93,89,04/05/2020,461,31,490,307
93,90,04/05/2020,260,6,256,174
94,0,04/05/2020,57,8,192,51
94,9,04/05/2020,0,0,6,0
94,19,04/05/2020,0,0,1,0
94,29,04/05/2020,0,0,14,0
94,39,04/05/2020,0,0,16,0
94,49,04/05/2020,1,0,22,1
94,59,04/05/2020,5,1,31,1
94,69,04/05/2020,9,3,30,2
94,79,04/05/2020,19,4,32,13
94,89,04/05/2020,14,0,28,24
94,90,04/05/2020,9,0,12,10
1,0,05/05/2020,16,5,71,18
1,9,05/05/2020,0,0,0,0
1,19,05/05/2020,0,0,2,0
1,29,05/05/2020,0,0,1,0
1,39,05/05/2020,1,0,3,0
1,49,05/05/2020,0,0,5,0
1,59,05/05/2020,1,0,18,3
1,69,05/05/2020,5,2,17,3
1,79,05/05/2020,4,2,12,7
1,89,05/05/2020,5,1,12,4
1,90,05/05/2020,0,0,0,1
2,0,05/05/2020,19,7,78,14
2,9,05/05/2020,0,0,0,0
2,19,05/05/2020,0,0,0,0
2,29,05/05/2020,0,0,3,0
2,39,05/05/2020,0,0,4,0
2,49,05/05/2020,1,1,12,0
2,59,05/05/2020,9,5,17,1
2,69,05/05/2020,4,1,19,2
2,79,05/05/2020,4,0,16,4
2,89,05/05/2020,1,0,6,5
2,90,05/05/2020,0,0,1,2
3,0,05/05/2020,5,0,36,1
3,9,05/05/2020,0,0,0,0
3,19,05/05/2020,1,0,2,0
3,29,05/05/2020,0,0,4,0
3,39,05/05/2020,0,0,7,0
3,49,05/05/2020,4,0,10,0
3,59,05/05/2020,0,0,2,0
3,69,05/05/2020,0,0,4,0
3,79,05/05/2020,0,0,3,1
3,89,05/05/2020,0,0,2,0
3,90,05/05/2020,0,0,0,0
4,0,05/05/2020,5,2,112,0
4,9,05/05/2020,0,0,1,0
4,19,05/05/2020,0,0,4,0
4,29,05/05/2020,0,0,18,0
4,39,05/05/2020,0,0,13,0
4,49,05/05/2020,1,0,11,0
4,59,05/05/2020,1,0,19,0
4,69,05/05/2020,2,2,22,0
4,79,05/05/2020,1,0,16,0
4,89,05/05/2020,0,0,8,0
4,90,05/05/2020,0,0,0,0
6,0,05/05/2020,44,6,105,11
6,9,05/05/2020,1,1,2,0
6,19,05/05/2020,1,0,4,0
6,29,05/05/2020,8,0,16,0
6,39,05/05/2020,2,0,15,0
6,49,05/05/2020,4,1,24,3
6,59,05/05/2020,10,1,18,3
6,69,05/05/2020,12,3,16,1
6,79,05/05/2020,4,0,4,2
6,89,05/05/2020,2,0,6,2
6,90,05/05/2020,0,0,0,0
11,0,05/05/2020,10222,1416,18870,6285
11,9,05/05/2020,47,14,207,2
11,19,05/05/2020,33,11,119,3
11,29,05/05/2020,120,24,636,11
11,39,05/05/2020,302,61,1493,38
11,49,05/05/2020,555,143,2389,114
11,59,05/05/2020,1217,372,3560,422
11,69,05/05/2020,1719,412,3794,905
11,79,05/05/2020,2132,306,3090,1471
11,89,05/05/2020,2476,45,2417,2036
11,90,05/05/2020,1535,16,970,1230
24,0,05/05/2020,974,105,1304,421
24,9,05/05/2020,1,0,24,0
24,19,05/05/2020,1,0,14,0
24,29,05/05/2020,7,4,35,0
24,39,05/05/2020,14,4,68,2
24,49,05/05/2020,17,4,138,3
24,59,05/05/2020,54,14,186,11
24,69,05/05/2020,163,32,224,30
24,79,05/05/2020,193,40,254,71
24,89,05/05/2020,307,6,251,172
24,90,05/05/2020,207,1,107,130
27,0,05/05/2020,1113,135,2582,884
27,9,05/05/2020,1,0,17,0
27,19,05/05/2020,3,0,21,0
27,29,05/05/2020,4,0,76,0
27,39,05/05/2020,8,1,139,2
27,49,05/05/2020,19,5,236,5
27,59,05/05/2020,74,19,352,18
27,69,05/05/2020,155,38,448,76
27,79,05/05/2020,259,55,519,183
27,89,05/05/2020,384,17,565,400
27,90,05/05/2020,205,0,205,198
28,0,05/05/2020,578,78,1137,363
28,9,05/05/2020,0,0,3,0
28,19,05/05/2020,1,0,5,0
28,29,05/05/2020,2,0,42,0
28,39,05/05/2020,8,2,84,1
28,49,05/05/2020,13,6,126,10
28,59,05/05/2020,42,15,197,14
28,69,05/05/2020,94,22,227,53
28,79,05/05/2020,128,25,218,79
28,89,05/05/2020,177,8,174,142
28,90,05/05/2020,113,0,55,64
32,0,05/05/2020,2139,300,4338,1461
32,9,05/05/2020,1,1,43,0
32,19,05/05/2020,4,0,24,0
32,29,05/05/2020,13,3,180,1
32,39,05/05/2020,30,5,343,3
32,49,05/05/2020,68,23,526,10
32,59,05/05/2020,184,50,755,56
32,69,05/05/2020,339,112,765,192
32,79,05/05/2020,486,81,773,323
32,89,05/05/2020,705,23,651,579
32,90,05/05/2020,299,0,262,291
44,0,05/05/2020,3671,464,8553,3011
44,9,05/05/2020,17,5,169,0
44,19,05/05/2020,10,3,61,0
44,29,05/05/2020,21,6,265,2
44,39,05/05/2020,61,8,438,14
44,49,05/05/2020,108,26,708,31
44,59,05/05/2020,306,71,1322,77
44,69,05/05/2020,647,176,1720,311
44,79,05/05/2020,851,137,1730,758
44,89,05/05/2020,1053,21,1574,1227
44,90,05/05/2020,563,4,508,580
52,0,05/05/2020,613,67,1334,362
52,9,05/05/2020,0,0,4,0
52,19,05/05/2020,1,1,6,0
52,29,05/05/2020,2,2,50,0
52,39,05/05/2020,6,1,88,0
52,49,05/05/2020,12,4,145,4
52,59,05/05/2020,31,14,197,12
52,69,05/05/2020,90,22,252,35
52,79,05/05/2020,129,21,253,65
52,89,05/05/2020,218,2,252,151
52,90,05/05/2020,123,0,87,95
53,0,05/05/2020,359,40,883,222
53,9,05/05/2020,0,0,11,0
53,19,05/05/2020,1,0,6,0
53,29,05/05/2020,2,0,29,0
53,39,05/05/2020,3,0,64,0
53,49,05/05/2020,10,1,99,1
53,59,05/05/2020,32,6,135,5
53,69,05/05/2020,45,13,154,27
53,79,05/05/2020,95,20,193,46
53,89,05/05/2020,112,0,133,83
53,90,05/05/2020,57,0,56,60
75,0,05/05/2020,567,102,1529,336
75,9,05/05/2020,1,0,11,0
75,19,05/05/2020,2,0,10,0
